NO,Department,Name,MODEL,SERIAL,MANUFACTURER,LOG_Number,Installation_Date,Warranty_End,PPM_Q_I_date,PPM_Q_I_engineer,PPM_Q_II_engineer,PPM_Q_III_engineer,PPM_Q_IV_engineer,Unnamed: 14
178,DENTAL ,ULTRASONIC CLEANER,VUO3H,19030,SMEG INSTRUMENTS,1089,,,20/09/2025,NIXON,45819,JAYAPRAKASH,NIXON,
179,DENTAL ,UPS,SMC10001,3S1802X03846,APC,1093,,,21/09/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
180,DENTAL ,UPS,IST3-3-6X9,551111020880PC2,ACE,1097,,,22/09/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
181,DENTAL ,VACYMAT,PI05-U02,UD 12 0024,ULTRADENT PRODUCTS,1188,,,23/09/2025,ARUN,45819,SUJITH,ARUN,
182,DENTAL ,VIBRATOR,V02A4,4285,MANFRED 1,1202,,,24/09/2025,ARUN,45819,SUJITH,ARUN,
183,DENTAL ,WARM VERTICALDEVICE,DIA51PEN,DP-14-0239,DIADENT,1060,,,25/09/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
184,DENTAL ,WATER DISTILLER,AQUADIST,EDP153797,EURONDA SPA,1087,,,26/09/2025,NIXON,45819,JAYAPRAKASH,NIXON,
185,DENTAL ,WATER DISTILLER,MH943,476150,MEGAHOME,1088,,,27/09/2025,NIXON,45819,JAYAPRAKASH,NIXON,
186,DENTAL ,WATERLASE,WATERLASE 1-PLUS,72210006,BIOCASE,1065,,,28/09/2025,ARUN,45819,SUJITH,ARUN,
187,DENTAL ,ZOOM BLEACHING,ZOOM POWER,268,DISCUS DENTAL,1070,,,29/09/2025,ARUN,45819,SUJITH,ARUN,
188,DERMA,AIRMAN BIOFILLER,MA42C,MA42C100913116L,KOREA MELSMO,1253,,,30/09/2025,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
189,DERMA,ACCENT PRIME,AARI6091501SR0001,APRM0716,NORDO ST PRK,1221,,,1/10/2025,NIXON,NIXON,NIXON,NIXON,
190,DERMA,CANDELA LASER,9914-15-9035,9914-9035-5119,CANDELA ,1007,,,2/10/2025,NIXON,NIXON,NIXON,NIXON,
191,DERMA,CANDELA LASER,GMAX-PRO,9914-9035-0560,CANDELA ,1012,,,3/10/2025,NIXON,NIXON,NIXON,NIXON,
192,DERMA,CANDELA LASER,GENTLE MAX-PRO,9914-9035-4459,CANDELA ,1016,,,4/10/2025,SUJITH,ARUN,SUJITH,ARUN,
193,DERMA,CAUTERY MACHINE,HYFRECATOR 2000,1586J492,CONMED CORPERATION,1210,,,5/10/2025,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
194,DERMA,CAUTERY MACHINE,HYFRECATOR 2000,17491146,CONMED CORPERATION,1238,,,6/10/2025,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
195,DERMA,CENTRIFUGE,RGLPRPC,09813G12,REGENLAB,1252,,,7/10/2025,ARUN,SUJITH,SUJITH,ARUN,
196,DERMA,CENTRIFUGE,Z206A,60140547,HERMLE,1021,,,8/10/2025,ARUN,SUJITH,SUJITH,ARUN,
197,DERMA,CLARITY II ,CLARITY II ,C3021MO29,LUTRONIC CORP.,1216,,,9/10/2025,SUJITH,ARUN,SUJITH,ARUN,
198,DERMA,CO2 LASER,EC02,E2020903012,LUTRONICS,1256,,,10/10/2025,SUJITH,ARUN,SUJITH,ARUN,
199,DERMA,COOLER MACHINE,CRYO 6,1920011514,"ZIMMER,GERMANY",1002,,,11/10/2025,ARUN,SUJITH,ARUN,SUJITH,
200,DERMA,COOLING MACHINE,CRYO6,1920005355,"ZIMMER,GERMANY",1262,,,12/10/2025,ARUN,SUJITH,SUJITH,ARUN,
201,DERMA,COOLING MACHINE,CRYO6,172000234,"ZIMMER,GERMANY",1038,,,13/10/2025,SUJITH,ARUN,ARUN,SUJITH,
202,DERMA,COOLING MACHINE,CRYO 6,1520004691,ZIMMER ,1226,,,14/10/2025,SUJITH,SUJITH,ARUN,ARUN,
203,DERMA,COOLING MACHINE,CRYO-6,722954,HEISTELLER,1011,,,15/10/2025,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
204,DERMA,COOLING MACHINE,CRIOGET AIR,7062915,CRIO MEPIGNE TECH,1242,,,16/10/2025,SUJITH,ARUN,ARUN,SUJITH,
205,DERMA,COOLING MACHINE,CRYO6,732020,"ZIMMER,GERMANY",1243,,,17/10/2025,SUJITH,ARUN,ARUN,SUJITH,
206,DERMA,DEKA MED,TRI-ACTIVE,BG-7A202C,DEKA MED,1249,,,18/10/2025,ARUN,NIXON,ARUN,NIXON,
207,DERMA,DERMA BRASSION,Portapeel1050,IMI-1050-3624,Innovative Med.Inc.,1218,,,19/10/2025,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
208,DERMA,DIAMOND PEEL,SILKPEEL,11444,ENVY SPECIALISED SKINCARE,1272,,,20/10/2025,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
209,DERMA,ELECTROSURGICAL UNIT,INFINI,R0918B003,LUTRONIC,1023,,,21/10/2025,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
210,DERMA,ELLIPSE LASER,ELLIPSE 12PL,7080136,Danish Dermatologic,1274,,,22/10/2025,NIXON,SUJITH,NIXON,SUJITH,
211,DERMA,ELLIPSE LASER,ELLIPSE LIGHT SPT,6110833,Danish Dermatologic,1275,,,23/10/2025,NIXON,SUJITH,NIXON,SUJITH,
212,DERMA,ENERGIST-NITROGEN PLASMA SYSTEM,NEOGEN EVO,NE00256,ENERGIST,1224,,,24/10/2025,SUJITH,ARUN,SUJITH,ARUN,
213,DERMA,EXCIPLEX PHOTOTHERAPY,EIPL-PRD0016,CE002,CLARTEIS,1289,,,25/10/2025,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
214,DERMA,FACIAL MACHINE BEAUTY ,F-309A,EX3066806,MADI INTERNATIONAL,1005,,,26/10/2025,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
215,DERMA,FACIAL MACHINE BEAUTY INSTRUMENT,F-305A,EX3066809,MADI INTERNATIONAL,1004,,,27/10/2025,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
216,DERMA,FACIAL STEAMER,FD-2013,EX5036581,MADI INTL,1290,,,28/10/2025,ARUN,SUJITH,SUJITH,ARUN,
217,DERMA,FACIAL STEAMER,F-300C,EX2177659,MADI INTL,1225,,,29/10/2025,ARUN,SUJITH,SUJITH,ARUN,
218,DERMA,FACIAL STEAMER,F-300A,EX3079724,MADI INTERNATIONAL,1003,,,30/10/2025,NIXON,NIXON,JAYAPRAKASH,NIXON,
219,DERMA,FACIAL STEAMER,FD2103,EX5036554,MADI,1267,,,31/10/2025,SUJITH,ARUN,ARUN,SUJITH,
220,DERMA,HIFU SHAPER,HIFU SHAPER,1/94(2017),ISKRA MEDICAL ,1228,,,1/11/2025,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
221,DERMA,HIFU SHAPER,HIFU SHAPER,1/124 (2016),ISKRA MEDICAL,1231,,,2/11/2025,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
222,DERMA,HIFU SHAPER ,1800532,27292(2016) 21292,ISKRA MEDICAL ,1024,,,3/11/2025,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
223,DERMA,HIFU SHAPER ,HIFU SHAPER,1/335(2019),ISKRA MEDICAL ,1283,,,4/11/2025,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
224,DERMA,HYDRAFACIAL MACHINE,EQ16,EQ16421441EX18,AMG HYDRA CLEAR,1268,,,5/11/2025,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
225,DERMA,HYDRAFACIAL MACHINE,EQ16,EQ16431935EX18,AMG HYDRA CLEAR,1269,,,6/11/2025,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
226,DERMA,HYDRAFACIAL MACHINE,AMG HYDRA CLEAR,EQ16502939EX19,AMG HYDRA CLEAR,1291,,,7/11/2025,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
227,DERMA,HYDRAFACIAL MACHINE,AMG,EQ16371929EX18,HYDRACLEAR,1006,,,8/11/2025,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
228,DERMA,HYFIECATOR2000,7-900-220,06FGJ306,CONMED CORPERATION,1019,,,9/11/2025,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
229,DERMA,LASER MACHINE,SP DYNAMIS,15100355 ,FOTONA,1030,,,10/11/2025,SUJITH,ARUN,JAYAPRAKASH,ARUN,
230,DERMA,LASER MACHINE,GMAX PRO,9914-9035-3440,CANDELA,1207,,,11/11/2025,ARUN,SUJITH,ARUN,SUJITH,
231,DERMA,LASER MACHINE,GMAX PRO,9914-9035-3305,CANDELA,1213,,,12/11/2025,SUJITH,ARUN,SUJITH,ARUN,
232,DERMA,LASER MACHINE,QX MAX,13000504,FOTONA,1280,,,13/11/2025,ARUN,SUJITH,ARUN,SUJITH,
233,DERMA,LASER MACHINE,STARWALKER,19000592,FOTONA,1293,,,14/11/2025,ARUN,SUJITH,ARUN,SUJITH,
234,DERMA,LASER MACHINE,9914159035,9914-9035-5118,CANDELA,1276,,,15/11/2025,NIXON,SUJITH,NIXON,SUJITH,
235,DERMA,LASER MACHINE,9914009035,9914-9035-5009,CANDELA,1281,,,16/11/2025,ARUN,NIXON,ARUN,NIXON,
236,DERMA,LASER MACHINE,SP DYNAMIS M021-4AF/3,16100390,FOTONA ,1026,,,17/11/2025,NIXON,SUJITH,NIXON,SUJITH,
237,DERMA,LASER MACHINE,QX MAX M031-3A/2,15000761,FOTONA ,1029,,,18/11/2025,NIXON,SUJITH,NIXON,SUJITH,
238,DERMA,LASER MACHINE,QX MAX,16000836,FOTONA ,1032,,,19/11/2025,SUJITH,ARUN,SUJITH,ARUN,
239,DERMA,LASER MACHINE,6 MAXPRO,9914-9035-0045,CANDELA ,1036,,,20/11/2025,SUJITH,ARUN,SUJITH,ARUN,
240,DERMA,LASER MACHINE,G MAX PRO,9.91E+11,CANDELA ,1203,,,21/11/2025,SUJITH,ARUN,SUJITH,ARUN,
241,DERMA,LASER MACHINE,SP DYNAMIS ,16/00425,FOTONA ,1260,,,22/11/2025,ARUN,NIXON,ARUN,NIXON,
242,DERMA,LIGHT WAVE,ELT-2880-RIBB-,2015-00807-LP,LIGHTWAVE INT'L,1236,,,23/11/2025,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
243,DERMA,LIGHT WAVE ,PELT -2880-RIBB LED PANEL,2014-00728-LF,LTW INTERNATIONAL,1229,,,24/11/2025,NIXON,SUJITH,NIXON,SUJITH,
244,DERMA,LUMINIS ONE,GAL170000GR,176,LUMENIS T. GERMANY,1215,,,25/11/2025,NIXON,SUJITH,NIXON,SUJITH,
245,DERMA,MESALYSE,MESALYSE,3297,ZA LA GOBETTE,1212,,,26/11/2025,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
246,DERMA,MESALYSE,MESALYSE,3293,ZA LA GOBETTE,1248,,,27/11/2025,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,JAYAPRAKASH,
247,DERMA,MESOJET,EM55444REVOO,70,MESOJET,1271,,,28/11/2025,ARUN,SUJITH,ARUN,SUJITH,
248,DERMA,PHOTOTHERAPY UNIT,UV181AL,609908,WALDMANN,1287,,,29/11/2025,ARUN,SUJITH,ARUN,SUJITH,
249,DERMA,PHOTOTHERAPY UNIT,UV200AL,06095-08,WALDMANN,1288,,,30/11/2025,ARUN,SUJITH,ARUN,SUJITH,
250,DERMA,PHOTOTHERAPY UNIT,HOUVAII UAV224,9086,NATIONAL BIOLOGICAL,1285,,,1/12/2025,ARUN,SUJITH,ARUN,SUJITH,
251,DERMA,POLLOGEN,GENEO+AS,GPAS2201667,LUMENIS,1018,,,2/12/2025,SUJITH,ARUN,SUJITH,ARUN,
252,DERMA,SMOKE EVACUATOR,PPS604,34119,BUFFAVO FILTER,1257,,,3/12/2025,ARUN,SUJITH,SUJITH,ARUN,
253,DERMA,SMOKE EVACUATOR,VIRO VAC,V09232,BUFFALO FILTER,1237,,,4/12/2025,ARUN,ARUN,SUJITH,ARUN,
254,DERMA,SMOKE EVACUATOR,VIRO VAC,VO4061,BUFEALO FILTER,1265,,,5/12/2025,JAYAPRAKASH,JAYAPRAKASH,NIXON,JAYAPRAKASH,
255,DERMA,SMOKE EVACUATOR,VIRO VAC,20250046,BUFFALO FILTER,1222,,,6/12/2025,JAYAPRAKASH,JAYAPRAKASH,NIXON,JAYAPRAKASH,
256,DERMA,STAR WALKER LASER MACHINE,STARWALKER,22001351,FOTONA,1261,,,7/12/2025,SUJITH,ARUN,SUJITH,ARUN,
257,DERMA,SWIFT MACHINE ,SWF-GE01,23151253,EMBLATION ,1235,,,8/12/2025,SUJITH,ARUN,SUJITH,ARUN,
258,DERMA,TMT SYSTEM,TMT SYSTEM,BE.101113,MESO  AESTHETIC,1286,,,9/12/2025,SUJITH,ARUN,SUJITH,ARUN,
259,DERMA,TRIPOCAT DEVICE , APS ,41224083,ELMAC ELETTRONICA ,1223,,,10/12/2025,NIXON,SUJITH,NIXON,SUJITH,
260,DERMA,ULTRACEL MACHINE,ULTRACEL,UKW-0051,JEISYS,1230,,,11/12/2025,NIXON,SUJITH,NIXON,SUJITH,
261,DERMA,UV LIGHT,UV523,5253019,BORTON,1131,,,12/12/2025,NIXON,SUJITH,NIXON,SUJITH,
262,DERMA,VASCULAR LASER,9914000300,9914-0300-3443,CANDELA,1240,,,13/12/2025,NIXON,SUJITH,NIXON,SUJITH,
263,DERMA,WEIGHING SCALE,WB-3000,13010102,TANITA,1001,,,14/12/2025,JAYAPRAKASH,JAYAPRAKASH,NIXON,JAYAPRAKASH,
264,DERMA,WEIGHING SCALE,WB-380,17030008,TANITA,1206,,,15/12/2025,ARUN,SUJITH,SUJITH,ARUN,
265,DERMA,WEIGHING SCALE,WB-3000,13070034,TANITA,1296,,,16/12/2025,SUJITH,ARUN,ARUN,SUJITH,
266,DERMA,WEIGHING SCALE,WB3000,14100157,TANITA,1022,,,17/12/2025,SUJITH,ARUN,ARUN,SUJITH,
267,DERMA,WEIGHING SCALE,WB-3000,14100167,TANITA,1245,,,18/12/2025,NIXON,NIXON,JAYAPRAKASH,NIXON,
268,ENDOSCOPY,DEFIBRILLATOR ,CARDIO 360 B,16206557,INNOMED ,1328,,,19/12/2025,JAYAPRAKASH,SUJITH,JAYAPRAKASH,SUJITH,
269,ENDOSCOPY,DRYING CABINET,DSCENDO-8,CBEC70-3-AAB,CHOYANG MEDICAL ,1333,,,20/12/2025,ARUN,ARUN,ARUN,ARUN,
270,ENDOSCOPY,ELECTRO SURGICAL UNIT,ESG-300,B001554,OLYMPUS,1304,,,21/12/2025,JAYAPRAKASH,SUJITH,JAYAPRAKASH,SUJITH,
271,ENDOSCOPY,ENDOCAPSULE ,RE-10,7110087,OLYMPUS MEDICAL SYS.,1309,,,22/12/2025,ARUN,NIXON,ARUN,NIXON,
272,ENDOSCOPY,ENDOSCOPE WASHER,SERIE 3,25186,SOLUSCOPE,1332,,,23/12/2025,SUJITH,NIXON,SUJITH,NIXON,
273,ENDOSCOPY,NP3 MOBIE WORKSTATION ,WM-NP3 MOBILE ,22113412,OLYMPUS MEDICAL SYS.,1299,,,24/12/2025,ARUN,NIXON,ARUN,NIXON,
274,ENDOSCOPY,OXYGEN CONCENTRATION ,525KS,B216020086KS,DEVILBISS,1307,,,25/12/2025,ARUN,JAYAPRAKASH,ARUN,JAYAPRAKASH,
275,ENDOSCOPY,PATIENT MONITOR ,IM80 ,360068-K21600010003,EDAN,1321,,,26/12/2025,NIXON,ARUN,NIXON,ARUN,
276,ENDOSCOPY,PATIENT MONITOR ,EAGLE 4000,101069456#,MARQUETTE HELLIGE,1323,,,27/12/2025,NIXON,SUJITH,NIXON,SUJITH,
277,ENDOSCOPY,PATIENT MONITOR ,IM80 ,360068-K2160001002,EDAN,1312,,,28/12/2025,SUJITH,JAYAPRAKASH,SUJITH,JAYAPRAKASH,
278,ENDOSCOPY,PATIENT MONITOR ,LMD-X2705MD,3100010,SONY,1315,,,29/12/2025,SUJITH,JAYAPRAKASH,SUJITH,JAYAPRAKASH,
279,ENDOSCOPY,PATIENT MONITOR ,IM80 ,360068HK21600010001,EDAN,1308,,,30/12/2025,NIXON,ARUN,NIXON,ARUN,
280,ENDOSCOPY,SUCTION MACHINE ,NEW ASKIR-30,30513,CA-MI,1324,,,31/12/2025,NIXON,NIXON,NIXON,NIXON,
281,ENDOSCOPY,SUCTION MACHINE ,V7 PLUS B,53919-0114,HERSILL,1313,,,1/1/2026,ARUN,SUJITH,ARUN,SUJITH,
282,ENDOSCOPY,SUCTION MACHINE ,VARIO,1062668,MEDELA,1314,,,2/1/2026,SUJITH,ARUN,SUJITH,ARUN,
283,ENDOSCOPY,SUCTION MACHINE ,BASIC-30,1363404,MEDELA,1306,,,3/1/2026,SUJITH,ARUN,SUJITH,ARUN,
284,ENDOSCOPY,VIDEO CENTRE,CV-170,7997945,OLYMPUS,1318,,,4/1/2026,SUJITH,ARUN,SUJITH,ARUN,
285,ENDOSCOPY,VIDEO CENTRE,OLYMPUS CLV-190,7101897,OLYMPUS MEDICAL SYS.,1301,,,5/1/2026,JAYAPRAKASH,SUJITH,JAYAPRAKASH,SUJITH,
286,ENDOSCOPY,WEIGHING SCALE,WB-380,17040023,TANITA,1329,,,6/1/2026,ARUN,ARUN,ARUN,ARUN,
287,ENDOSCOPY,WEIGHING SCALE,WB-380,17040022,TANITA,1320,,,7/1/2026,ARUN,ARUN,ARUN,ARUN,
288,ENDOSCOPY,XENON  LIGHT ,OLYMPUS CV-190,7151950,OLYMPUS MEDICAL SYS.,1300,,,8/1/2026,JAYAPRAKASH,SUJITH,JAYAPRAKASH,SUJITH,
289,ENT, EXAMINATION CHAIR,760110ES/07436,Z01040036,ENTERMED,1166,,,9/1/2026,JAYAPRAKASH,ARUN,JAYAPRAKASH,ARUN,
290,ENT,AIDA C,WD300,UN2000597,KARL STORZ GERMANY ,1162,,,10/1/2026,SUJITH,NIXON,SUJITH,NIXON,
291,ENT,AUDIOMETER,VIOLA PLUS,IMIDD17203836,VIOLA,1135,,,11/1/2026,NIXON,SUJITH,NIXON,SUJITH,
292,ENT,AUDIOMETRIC BOOTH,CI-45,90116170301,EYMASA,1136,,,12/1/2026,NIXON,SUJITH,NIXON,SUJITH,
293,ENT,ELECTROCOAGULATOR,SMTBM,1697,SMT,1168,,,13/01/2026,SUJITH,NIXON,SUJITH,NIXON,
294,ENT,ENT CHAIR,760110 ES/20161,Z01040023,ENTERMED,1170,,,14/01/2026,JAYAPRAKASH,ARUN,JAYAPRAKASH,ARUN,
295,ENT,ENT CHAIR ,BASIC PLUS ,4603551,OTOPRONT,2760,,,15/01/2026,ARUN,JAYAPRAKASH,ARUN,JAYAPRAKASH,
296,ENT,ENT CHAIR ELECTRIC,S61,8.20244E+17,ATMOS,2749,,,16/01/2026,ARUN,JAYAPRAKASH,ARUN,JAYAPRAKASH,
297,ENT,ENT MICROSCOP,KAPS,26014,KARL KAPS,1167,,,17/01/2026,SUJITH,NIXON,SUJITH,NIXON,
298,ENT,ENT MICROSCOPE,KAPS,12550,KARL KAPS,1144,,,18/01/2026,JAYAPRAKASH,ARUN,JAYAPRAKASH,ARUN,
299,ENT,ENT UNIT ,BASIC PLUS ,36410,OTOPRONT,2761,,,19/01/2026,ARUN,JAYAPRAKASH,ARUN,JAYAPRAKASH,
300,ENT,ENT WORK STATION,FUTURENT III,111632045,ENTERMED,1143,,,20/01/2026,JAYAPRAKASH,ARUN,JAYAPRAKASH,ARUN,
301,ENT,ENT WORKSTATION,FUTURENT III,103732017,ENTERMED,1165,,,21/01/2026,JAYAPRAKASH,ARUN,JAYAPRAKASH,ARUN,
302,ENT,ENT WORKSTATION,561,1109446,ATMOS,2748,,,22/01/2026,ARUN,JAYAPRAKASH,ARUN,JAYAPRAKASH,
303,ENT,IQAM,S61,1000723,ATMOS,2751,,,23/01/2026,ARUN,JAYAPRAKASH,ARUN,JAYAPRAKASH,
304,ENT,IVIEW31,S61,1109447,ATMOS,2750,,,24/01/2026,ARUN,JAYAPRAKASH,ARUN,JAYAPRAKASH,
305,ENT,MONITOR ,S61,PC21241000042,ATMOS,2762,,,25/01/2026,ARUN,JAYAPRAKASH,ARUN,JAYAPRAKASH,
306,ENT,OPERATING SURGICAL MICROSCOPY,613-7000-00,160806757,LABOMED,2758,,,26/01/2026,ARUN,JAYAPRAKASH,ARUN,JAYAPRAKASH,
307,ENT,TELECAM C3,TC100,VN867122-P,KARL STORZ GERMANY ,1163,,,27/01/2026,SUJITH,NIXON,SUJITH,NIXON,
308,ENT,TELEPACK XLED MONITOR,TP100,PT-4325,KARLSTORZ,2759,,,28/01/2026,ARUN,JAYAPRAKASH,ARUN,JAYAPRAKASH,
309,ENT,TYMPANOMETER,TOUCH TYMP,MA9064093,MAICO,1137,,,29/01/2026,ARUN,JAYAPRAKASH,ARUN,JAYAPRAKASH,
310,ENT,WEIGHING SCALE,WB-3000,14100151,TANITA,1138,,,30/01/2026,ARUN,JAYAPRAKASH,ARUN,JAYAPRAKASH,
311,ENT,WEIGHING SCALE,WB-3000,13070002,TANITA,1142,,,31/01/2026,ARUN,JAYAPRAKASH,ARUN,JAYAPRAKASH,
312,ER, ECG MACHINE,SE1200 EXPRESS460016-M21C1560001,460016,EDAN,1552,,,1/2/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
313,ER,BABY WEIGHING SCALE,BD-590,800617,TANITA,1585,,,2/2/2026,ARUN,SUJITH,ARUN,SUJITH,
314,ER,CTG MACHINE,F3,560034-M19901960003,EDAN,1546,,,3/2/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
315,ER,CTG MACHINE,F3,560034-M19901960002,EDAN,1557,,,4/2/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
316,ER,DEFIBRILATOR,TEC-5631,11665,NIHON KOHDEN,1512,,,5/2/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
317,ER,DEFIBRILATOR,TEC-5631,11680,NIHON KOHDEN,1573,,,6/2/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
318,ER,DEFIBRILLATOR,TEC-5631,11656,NIHON KOHDEN,1605,,,7/2/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
319,ER,DOPPLER,SD3 PLUS,560027-M19602180005,EDAN,1536,,,8/2/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
320,ER,ECG MACHINE,SE1200 EXPRESS,460016EM22CI93,EDAN,1511,,,9/2/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
321,ER,INFUSION PUMP,Optima PT-IS,19770204,FRESENIUS VIAL,1567,,,10/2/2026,NIXON,JAYAPRAKASH,NIXON,JAYAPRAKASH,
322,ER,INFUSION PUMP,OPTIMA PT-IS,19719815,FRESENIUS VIAL,1588,,,11/2/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
323,ER,INFUSION PUMP,Optima PT-IS,19719814,FRESENIUS VIAL,1593,,,12/2/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
324,ER,INFUSION PUMP,Optima PT-IS,19719784,FRESENIUS VIAL,1596,,,13/02/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
325,ER,INFUSION PUMP,OPTIMA PT-IS,19770208,FRESENIUS VIAL,2708,,,14/02/2026,ARUN,SUJITH,ARUN,SUJITH,
326,ER,INFUSION PUMP,OPTIMA PT-IS,19770205,FRESENIUS VIAL,2710,,,15/02/2026,ARUN,SUJITH,ARUN,SUJITH,
327,ER,INFUSION PUMP,OPTIMA PT-IS,19719786,FRESENIUS VIAL ,2711,,,16/02/2026,ARUN,SUJITH,ARUN,SUJITH,
328,ER,NEBULIZER,INNOSPIRE DELUXE,204519,RESPIRONICS,1501,,,17/02/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
329,ER,NEBULIZER,INNOSPIRE DELUXE,168639,RESPIRONICS,1510,,,18/02/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
330,ER,NEBULIZER,INNOSPIRE DELUXE,148129,RESPIRONICS,1560,,,19/02/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
331,ER,NEBULIZER,INNOSPIRE DELUXE,164503,RESPIRONICS,1561,,,20/02/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
332,ER,NEBULIZER,ROSSMAX ,13001764,ROSSMAX INT.,1510,,,21/02/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
333,ER,PATIENT MONITOR,iM8,360001-M19902630003-01,EDAN,1500,,,22/02/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
334,ER,PATIENT MONITOR,iM8,360001-M19902630001-01,EDAN,1518,,,23/02/2026,SUJITH,ARUN,SUJITH,ARUN,
335,ER,PATIENT MONITOR,iM8,360001-M19902630004-01,EDAN,1558,,,24/02/2026,SUJITH,ARUN,SUJITH,ARUN,
336,ER,PATIENT MONITOR,ELITE V6,260597-M20411470002,EDAN,1577,,,25/02/2026,SUJITH,ARUN,SUJITH,ARUN,
337,ER,PATIENT MONITOR,IM3,261436-EM199041400002,EDAN,1587,,,26/02/2026,SUJITH,ARUN,SUJITH,ARUN,
338,ER,PATIENT MONITOR,IM8,360001-EM19902,EDAN,1591,,,27/02/2026,SUJITH,ARUN,SUJITH,ARUN,
339,ER,PATIENT MONITOR,VITAPIA7000,W68G108722,Trismed Co. LtD,1599,,,28/02/2026,SUJITH,ARUN,SUJITH,ARUN,
340,ER,PATIENT MONITOR    ,Vitapia7000k,21100100094,Trismed Co. Ltd,1562,,,1/3/2026,SUJITH,ARUN,SUJITH,ARUN,
341,ER,PULSE OXIMETER,SAT805,A2242761,bitmos GmbH,1524,,,2/3/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
342,ER,PULSE OXIMETER,SAT805,82242760,bitmos GmbH,1548,,,3/3/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
343,ER,PULSE OXIMETER,SAT801,77236522,BITMOS,1570,,,4/3/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
344,ER,PULSE OXIMETER,SAT801,77236523,BITMOS,1571,,,5/3/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
345,ER,PULSE OXIMETER,SAT805,41130383,BITMOS,1662,,,6/3/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
346,ER,REFRIGERATOR,WROW-163,9286830131,WANSA,1668,,,7/3/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
347,ER,SUCTION FLOWMETER,CVR6-1229,GFHL50712,Ohmeda Medical ,1574,,,8/3/2026,JAYAPRAKASH,NIXON,JAYAPRAKASH,NIXON,
